t90	t90_error
7.165	 1.055
7.168	 0.572
7.168	 2.828
7.168	 1.950
7.168	 0.202
7.168	 2.360
7.168	 2.521
7.168	 3.482
7.168	 2.290
7.168	 1.056
7.168	 4.891
7.168	 2.415
7.168	 1.305
7.168	 2.611
7.168	 2.064
7.168	 1.056
7.168	 2.862
7.168	 1.145
7.168	 0.572
7.168	 3.114
7.168	 1.747
7.168	 0.572
7.168	 1.056
7.168	 1.810
7.168	 2.673
7.168	 0.923
7.229	 0.602
7.229	 0.602
7.232	 0.810
7.360	 1.557
7.424	 3.238
7.424	 2.573
7.424	 1.639
7.424	 1.717
7.424	 2.611
7.424	 1.145
7.424	 1.619
7.424	 4.720
7.424	 6.192
7.424	 0.810
7.424	 3.093
7.424	 2.521
7.424	 2.005
7.424	 0.362
7.424	 0.571
7.424	 0.923
7.424	 0.604
7.424	 0.572
7.424	 1.846
7.485	 0.572
7.488	 2.496
7.552	 0.362
7.616	 1.605
7.616	 1.145
7.616	 0.923
7.616	 0.529
7.616	 0.529
7.677	 0.571
7.680	 4.167
7.680	 3.367
7.680	 2.064
7.680	 4.944
7.680	 1.999
7.680	 0.810
7.680	 2.560
7.680	 2.996
7.680	 6.192
7.680	 0.377
7.680	 1.864
7.680	 0.923
7.680	 0.724
7.872	 0.272
7.872	 3.328
7.936	 4.382
7.936	 1.639
7.936	 3.367
7.936	 5.938
7.936	 0.923
7.936	 1.296
7.936	 1.145
7.936	 1.717
7.936	 3.167
7.936	 1.379
7.936	 1.864
7.936	 0.572
7.936	 1.145
7.936	 1.305
8.064	 1.262
8.128	 1.866
8.128	 0.429
8.192	 2.064
8.192	 2.769
8.192	 4.360
8.192	 0.923
8.192	 2.611
8.192	 1.604
8.192	 2.862
8.192	 2.996
8.192	 1.639
8.192	 1.493
8.192	 2.064
8.192	 2.521
8.192	 3.125
8.192	 3.258
8.192	 2.360
8.192	 1.086
8.192	 1.864
8.192	 1.448
8.192	 0.724
8.192	 1.305
8.192	 0.870
8.192	 3.444
8.256	 4.136
8.256	 0.889
8.256	 0.091
8.384	 4.332
8.448	 3.566
8.448	 4.636
8.448	 2.360
8.448	 0.923
8.448	 3.556
8.448	 0.810
8.448	 0.810
8.448	 0.724
8.576	 3.210
8.701	 0.571
8.704	 1.619
8.704	 5.043
8.704	 6.026
8.704	 2.896
8.704	 0.810
8.704	 2.318
8.704	 2.429
8.704	 2.111
8.704	 0.724
8.704	 1.379
8.704	 1.846
8.704	 0.389
8.704	 2.862
8.768	 1.231
8.896	 0.466
8.960	 1.864
8.960	 2.187
8.960	 4.167
8.960	 1.846
8.960	 1.379
8.960	 0.724
8.960	 5.425
8.960	 1.810
8.960	 4.352
8.960	 0.572
8.960	 3.566
8.960	 1.280
8.960	 3.114
8.960	 1.864
8.960	 3.435
8.960	 1.379
8.960	 0.810
8.960	 1.208
8.960	 0.572
9.021	 1.072
9.024	 1.042
9.024	 0.181
9.024	 0.091
9.024	 0.362
9.088	 1.680
9.152	 0.923
9.216	 0.923
9.216	 1.639
9.216	 1.864
9.216	 2.560
9.216	 3.665
9.216	 1.619
9.216	 4.871
9.216	 1.619
9.216	 3.620
9.216	 3.665
9.216	 2.573
9.216	 0.362
9.216	 1.145
9.216	 4.615
9.216	 1.619
9.216	 0.724
9.216	 0.572
9.216	 6.720
9.216	 0.528
9.216	 0.923
9.280	 1.972
9.280	 0.607
9.344	 0.320
9.472	 3.849
9.472	 2.996
9.472	 0.923
9.472	 1.999
9.472	 3.338
9.472	 0.810
9.472	 2.360
9.472	 1.619
9.536	 0.143
9.664	 6.457
9.728	 3.566
9.728	 2.721
9.728	 2.202
9.728	 0.810
9.728	 0.923
9.728	 2.187
9.728	 0.923
9.728	 1.810
9.790	 0.408
9.853	 0.179
9.856	 1.086
9.981	 1.055
9.984	 4.222
9.984	 1.493
9.984	 1.448
9.984	 2.721
9.984	 0.326
9.984	 4.971
9.984	 1.305
9.984	 4.471
9.984	 3.620
9.984	 2.828
9.984	 3.415
9.984	 9.051
9.984	 0.640
9.984	 0.923
9.984	 1.305
9.984	 0.724
9.984	 1.280
9.984	 1.055
9.984	 5.620
10.048	 0.318
10.176	 2.580
10.240	 1.557
10.240	 2.202
10.240	 3.874
10.240	 2.896
10.240	 2.429
10.240	 4.048
10.240	 2.187
10.240	 1.619
10.240	 1.846
10.240	 0.810
10.240	 0.653
10.496	 1.086
10.496	 5.615
10.496	 1.950
10.496	 2.111
10.496	 2.673
10.496	 1.950
10.496	 1.639
10.496	 0.724
10.496	 1.145
10.496	 1.950
10.496	 1.950
10.496	 0.362
10.496	 1.145
10.496	 0.572
10.624	12.673
10.624	 1.431
10.688	 0.143
10.688	 0.842
10.752	 1.846
10.752	 1.056
10.752	 8.208
10.752	 2.611
10.752	 3.167
10.752	 0.724
10.752	 0.362
10.813	 1.072
11.005	 0.724
11.008	 2.673
11.008	 2.360
11.008	 1.999
11.008	 5.184
11.008	 1.379
11.008	 6.802
11.008	 1.280
11.008	 1.145
11.008	10.546
11.008	 0.923
11.008	 0.320
11.008	 0.724
11.008	 1.145
11.008	 1.056
11.008	 0.572
11.072	 0.410
11.072	 0.091
11.136	 1.145
11.200	 0.602
11.264	 1.145
11.264	 7.331
11.264	 4.382
11.264	 3.727
11.264	 3.208
11.264	 1.864
11.264	 7.209
11.264	 0.724
11.264	 1.950
11.264	 0.362
11.264	 1.379
11.264	 0.572
11.293	 0.383
11.392	 0.466
11.520	 3.083
11.520	 0.923
11.520	 1.145
11.520	 7.286
11.520	 2.187
11.520	 4.636
11.520	 3.665
11.520	 1.379
11.520	 0.724
11.520	 1.639
11.550	 3.595
11.773	 0.571
11.776	 3.093
11.776	 1.864
11.776	 3.114
11.776	 3.727
11.776	 2.360
11.776	 1.864
11.776	 2.064
11.776	 3.806
11.776	 3.665
11.776	 1.810
11.776	 2.573
11.968	 2.248
11.968	 6.426
12.029	 0.724
12.032	 0.923
12.032	 3.874
12.032	 2.415
12.032	 5.345
12.032	 5.278
12.032	 1.864
12.032	 3.278
12.032	 2.828
12.032	 1.846
12.032	 4.382
12.032	 1.305
12.032	 0.724
12.160	 4.971
12.288	 2.673
12.288	 0.572
12.288	11.336
12.288	 4.471
12.288	 1.639
12.288	 1.280
12.288	 2.673
12.288	 2.429
12.288	 1.639
12.288	 1.280
12.288	 2.919
12.288	 0.362
12.288	 0.362
12.416	 0.181
12.480	 5.018
12.541	 4.359
12.544	 7.464
12.544	 2.611
12.544	 3.665
12.544	 1.379
12.544	 5.278
12.544	 2.187
12.544	 1.717
12.544	 1.639
12.544	 4.128
12.544	 2.862
12.544	 4.615
12.544	 7.389
12.544	 1.810
12.606	 0.408
12.608	 0.345
12.736	 1.145
12.800	 4.048
12.800	 2.111
12.800	 1.864
12.800	 3.278
12.800	 1.846
12.800	 1.145
12.800	 2.919
12.800	 0.572
12.800	 1.557
12.800	 3.238
12.800	 0.362
12.864	 4.844
12.864	 2.099
12.992	 2.010
12.992	 0.231
12.992	 1.280
12.992	 0.871
12.992	 1.925
13.056	 1.280
13.056	 1.145
13.056	 5.910
13.056	 0.724
13.056	 0.810
13.056	 1.846
13.056	 1.278
13.056	 1.639
13.056	 0.923
13.056	 0.362
13.184	 0.202
13.278	 0.558
13.309	 1.055
13.312	 3.167
13.312	 4.720
13.312	 4.344
13.312	 4.857
13.312	 7.131
13.312	 6.720
13.312	 0.923
13.312	 3.338
13.312	 3.083
13.312	 2.318
13.312	 1.557
13.312	 1.280
